10,-2,9.912,0.724,        10,0.006,0.01,-0.024
20,-1.936,9.882,0.742,        20,0.03,0.014,-0.03
30,-1.97,9.766,0.788,        30,0.068,0.014,-0.036
40,-2.002,9.666,0.806,        40,0.108,0.012,-0.042
50,-1.964,9.59,0.806,        50,0.132,0.006,-0.042
60,-1.95,9.502,0.818,        60,0.136,0.004,-0.042
70,-1.95,9.4,0.784,        70,0.12,0.01,-0.044
80,-1.958,9.274,0.762,        80,0.1,0.018,-0.044
90,-2.03,9.21,0.752,        90,0.088,0.024,-0.044
100,-2.11,9.17,0.726,        100,0.1,0.022,-0.05
110,-2.2,9.21,0.746,        110,0.134,0.018,-0.054
120,-2.222,9.292,0.756,        120,0.166,0.02,-0.064
130,-2.2,9.36,0.756,        130,0.184,0.02,-0.076
140,-2.212,9.416,0.822,        140,0.188,0.022,-0.084
150,-2.254,9.38,0.828,        150,0.178,0.03,-0.084
160,-2.314,9.25,0.854,        160,0.164,0.034,-0.084
170,-2.32,9.18,0.82,        170,0.148,0.032,-0.082
180,-2.302,9.188,0.822,        180,0.128,0.032,-0.074
190,-2.332,9.274,0.894,        190,0.102,0.034,-0.066
200,-2.326,9.44,0.912,        200,0.072,0.032,-0.058
210,-2.304,9.578,0.902,        210,0.05,0.03,-0.048
220,-2.356,9.704,0.916,        220,0.044,0.022,-0.03
230,-2.388,9.838,0.894,        230,0.05,0.004,-0.01
240,-2.394,9.968,0.82,        240,0.044,-0.006,0.01
250,-2.378,10.09,0.796,        250,0.022,-0.014,0.03
260,-2.394,10.234,0.804,        260,-0.006,-0.022,0.054
270,-2.444,10.274,0.742,        270,-0.028,-0.034,0.082
280,-2.51,10.218,0.696,        280,-0.046,-0.048,0.108
290,-2.536,10.198,0.696,        290,-0.064,-0.068,0.122
300,-2.532,10.258,0.634,        300,-0.086,-0.092,0.128
310,-2.504,10.326,0.56,        310,-0.114,-0.118,0.134
320,-2.512,10.348,0.482,        320,-0.146,-0.142,0.136
330,-2.53,10.322,0.414,        330,-0.176,-0.166,0.14
340,-2.576,10.26,0.28,        340,-0.2,-0.194,0.142
350,-2.638,10.176,0.134,        350,-0.198,-0.23,0.148
360,-2.7,10.168,0.03,        360,-0.18,-0.266,0.166
370,-2.76,10.25,-0.026,        370,-0.158,-0.304,0.194
380,-2.784,10.32,-0.088,        380,-0.152,-0.346,0.222
390,-2.806,10.312,-0.174,        390,-0.154,-0.388,0.244
400,-2.916,10.204,-0.318,        400,-0.15,-0.424,0.284
410,-3.064,10.106,-0.474,        410,-0.128,-0.45,0.328
420,-3.21,10.132,-0.516,        420,-0.098,-0.474,0.36
430,-3.276,10.174,-0.518,        430,-0.07,-0.494,0.38
440,-3.342,10.142,-0.464,        440,-0.05,-0.518,0.394
450,-3.396,10.022,-0.37,        450,-0.046,-0.544,0.4
460,-3.36,9.896,-0.372,        460,-0.05,-0.564,0.402
470,-3.238,9.812,-0.41,        470,-0.056,-0.584,0.398
480,-3.16,9.674,-0.438,        480,-0.038,-0.604,0.392
490,-3.1,9.466,-0.512,        490,0.01,-0.628,0.408
500,-3.048,9.308,-0.486,        500,0.05,-0.638,0.416
510,-2.954,9.208,-0.338,        510,0.01,-0.636,0.396
520,-2.8,9.086,-0.27,        520,-0.05,-0.644,0.376
530,-2.666,8.9,-0.104,        530,-0.094,-0.644,0.386
540,-2.634,8.686,0.034,        540,-0.104,-0.63,0.386
550,-2.494,8.69,0.028,        550,-0.076,-0.626,0.362
560,-2.284,8.974,-0.022,        560,-0.054,-0.626,0.33
570,-2.164,9.19,0.074,        570,-0.046,-0.62,0.31
580,-2.102,9.276,0.132,        580,-0.066,-0.608,0.33
590,-1.862,9.42,0.2,        590,-0.116,-0.61,0.358
600,-1.654,9.454,0.208,        600,-0.202,-0.594,0.362
610,-1.528,9.368,0.214,        610,-0.282,-0.562,0.362
620,-1.46,9.346,0.538,        620,-0.29,-0.546,0.378
630,-1.386,9.446,0.768,        630,-0.248,-0.548,0.404
640,-1.198,9.744,0.67,        640,-0.196,-0.548,0.442
650,-1.07,10.29,0.6,        650,-0.156,-0.526,0.488
660,-0.866,10.75,0.64,        660,-0.156,-0.49,0.522
