10,-0.562,-1.096,10.006,        10,0.282,-0.498,0.278
20,-0.324,-0.906,9.944,        20,0.32,-0.626,0.224
30,-0.49,-0.672,9.884,        30,0.354,-0.742,0.13
40,-0.404,-0.826,9.8,        40,0.38,-0.788,0.014
50,-0.268,-0.774,9.718,        50,0.35,-0.61,-0.114
60,-0.264,-0.73,9.674,        60,0.284,-0.314,-0.21
70,-0.498,-0.748,9.588,        70,0.176,-0.02,-0.19
80,-0.524,-0.662,9.556,        80,0.028,0.292,-0.116
90,-0.53,-0.444,9.55,        90,-0.088,0.52,-0.092
100,-0.836,-0.356,9.58,        100,-0.166,0.518,-0.154
110,-0.844,-0.444,9.67,        110,-0.044,0.38,-0.072
120,0.112,-0.19,9.852,        120,0.112,0.136,0.142
130,1.06,-0.066,9.856,        130,0.012,0,0.036
140,1.472,-0.282,9.722,        140,0.034,-0.008,0.02
150,1.828,-0.154,9.48,        150,0.058,-0.024,-0.002
160,1.758,-0.098,9.202,        160,0.078,-0.038,-0.018
170,0.356,-0.24,9.014,        170,0.076,-0.046,-0.014
180,-0.154,-1.136,8.57,        180,0.05,-0.04,-0.008
190,-0.816,-1.652,8.434,        190,0.014,-0.024,-0.006
200,-1.798,-1.082,8.644,        200,-0.006,-0.002,0
210,0.302,-0.312,9.744,        210,-0.016,0.022,0.012
220,0.302,-0.312,9.744,        220,-0.022,0.03,0.022
230,0.302,-0.312,9.744,        230,-0.016,0.028,0.012
240,0.302,-0.312,9.744,        240,-0.002,0.014,0.004
250,0.302,-0.312,9.744,        250,0.024,0.004,-0.008
260,0.904,5.954,7.398,        260,0.044,-0.006,-0.018
270,0.926,5.936,7.36,        270,0.042,-0.01,-0.016
280,0.908,5.948,7.68,        280,0.034,-0.01,-0.014
290,0.904,5.984,7.736,        290,0.03,0.004,-0.006
300,1.018,5.898,7.794,        300,0.048,0.014,-0.052
310,0.878,6.108,7.792,        310,0.032,0.018,-0.088
320,0.706,6.408,7.698,        320,0.008,0.024,-0.072
330,0.73,6.384,7.604,        330,0.004,0.022,-0.054
340,0.786,6.306,7.518,        340,-0.004,0.028,-0.06
350,0.778,6.244,7.466,        350,-0.04,0.028,-0.058
360,0.744,6.128,7.526,        360,-0.016,0.008,-0.052
370,0.768,6.032,7.618,        370,0.122,-0.028,-0.062
380,0.75,6.016,7.726,        380,0.25,-0.06,-0.092
390,0.72,5.934,7.846,        390,0.298,-0.07,-0.124
400,0.742,5.926,7.908,        400,0.336,-0.07,-0.142
410,0.758,6.024,7.908,        410,0.328,-0.07,-0.15
420,0.848,6.062,7.748,        420,0.244,-0.026,-0.184
430,0.95,6.014,7.596,        430,0.01,0.008,-0.282
440,0.988,5.994,7.472,        440,-0.28,0.036,-0.23
450,0.982,6.026,7.272,        450,-0.202,0.038,-0.178
460,0.894,6.05,7.26,        460,-0.022,0.018,-0.174
470,0.708,5.96,7.498,        470,-0.012,0.02,-0.182
480,0.652,5.892,7.652,        480,-0.084,0.034,-0.198
490,0.598,5.842,7.752,        490,-0.068,0.034,-0.208
500,0.508,5.836,7.844,        500,0.058,0.006,-0.208
510,0.584,5.906,7.838,        510,0.19,-0.032,-0.196
520,0.654,5.918,7.788,        520,0.21,-0.054,-0.172
530,0.746,5.874,7.706,        530,0.104,-0.05,-0.158
540,0.856,5.794,7.578,        540,-0.02,-0.03,-0.154
550,0.558,5.934,7.464,        550,-0.082,-0.022,-0.144
560,0.684,5.858,7.342,        560,-0.102,-0.022,-0.122
